# RBER, SIGMA, SIGMA1, SIGMA2, CAPACITY, T0, LLR0, LLR1
1.245850000000000013e-01 1.846640331883905972e+00 1.292648232318734047e+00 5.539920995651718139e-01 0.000000000000000000e+00 1.310600694765121643e-01 2.629060530984457245e+00 -1.596434909668169366e+00
1.260799999999999976e-01 1.859800277235439170e+00 1.301860194064807352e+00 5.579400831706317065e-01 0.000000000000000000e+00 1.276099576230604604e-01 2.616266309684786684e+00 -1.583246708277944448e+00
1.275749999999999940e-01 1.873046891403950864e+00 1.311132823982765538e+00 5.619140674211852149e-01 0.000000000000000000e+00 1.241215455137475859e-01 2.603609211927218947e+00 -1.570201114305661561e+00
1.290699999999999903e-01 1.886382312456262422e+00 1.320467618719383562e+00 5.659146937368787489e-01 0.000000000000000000e+00 1.205940838076788174e-01 2.591086040916627642e+00 -1.557294836638373203e+00
1.305650000000000144e-01 1.899808700798556460e+00 1.329866090558989411e+00 5.699426102395669380e-01 0.000000000000000000e+00 1.170268092873263943e-01 2.578693710998675392e+00 -1.544524698442366617e+00
1.320600000000000107e-01 1.913328240767759425e+00 1.339329768537431464e+00 5.739984722303278497e-01 0.000000000000000000e+00 1.134189443615442050e-01 2.566429242595631877e+00 -1.531887631971423858e+00
1.335550000000000070e-01 1.926943142223861205e+00 1.348860199556702666e+00 5.780829426671583171e-01 0.000000000000000000e+00 1.097696965581165252e-01 2.554289757427556484e+00 -1.519380673667243942e+00
1.350500000000000034e-01 1.940655642146466686e+00 1.358458949502526547e+00 5.821966926439400281e-01 0.000000000000000000e+00 1.060782580050555340e-01 2.542272473999789284e+00 -1.507000959532559303e+00
1.365449999999999997e-01 1.954468006238809341e+00 1.368127604367166406e+00 5.863404018716428245e-01 0.000000000000000000e+00 1.023438048998525640e-01 2.530374703339120845e+00 -1.494745720758902996e+00
1.380399999999999960e-01 1.968382530542369890e+00 1.377867771379658768e+00 5.905147591627109005e-01 0.000000000000000000e+00 9.856549696587493803e-02 2.518593844962395245e+00 -1.482612279592414373e+00
1.395349999999999924e-01 1.982401543065179350e+00 1.387681080145625412e+00 5.947204629195538272e-01 0.000000000000000000e+00 9.474247689509457393e-02 2.506927383062482306e+00 -1.470598045422300215e+00
1.410299999999999887e-01 1.996527405426834489e+00 1.397569183798784032e+00 5.989582216280503468e-01 0.000000000000000000e+00 9.087386977631332907e-02 2.495372882897746614e+00 -1.458700511077716477e+00
1.425250000000000128e-01 2.010762514523219746e+00 1.407533760166253645e+00 6.032287543569658794e-01 0.000000000000000000e+00 8.695878250803554255e-02 2.483927987372068547e+00 -1.446917249319891630e+00
1.440200000000000091e-01 2.025109304213904782e+00 1.417576512949733303e+00 6.075327912641713679e-01 0.000000000000000000e+00 8.299630319511536181e-02 2.472590413793519293e+00 -1.435245909517267826e+00
1.455150000000000055e-01 2.039570247035167316e+00 1.427699172924617121e+00 6.118710741105501949e-01 0.000000000000000000e+00 7.898550052828713641e-02 2.461357950800595162e+00 -1.423684214492329625e+00
1.470100000000000018e-01 2.054147855941599765e+00 1.437903499159119747e+00 6.162443567824799073e-01 0.000000000000000000e+00 7.492542314565830974e-02 2.450228455445710107e+00 -1.412229957529589131e+00
1.485049999999999981e-01 2.068844686079257755e+00 1.448191280255480384e+00 6.206534058237772600e-01 0.000000000000000000e+00 7.081509897521684471e-02 2.439199850426401639e+00 -1.400880999534954485e+00
